nt n SUN kernel bw
7 68 SUN-internal MatMul 292.2110
7 68 SUN-internal MatMulTmp 120.9175
7 68 SUN-internal MatMulInter 107.4762
7 68 SUN-internal conjMatMul 120.7550
7 68 SUN-internal HalfStaple 219.4049
7 68 SUN-internal Plaquette 55.3151
7 68 SUN-internal Plaquette-Kernel 42.4679
7 68 SUN-internal Plaquette-Notrace 48.8053
7 68 SUN-internal Plaquette-Trace 976.2656
7 68 SUN-internal Plaquette-NotraceTrace 52.1666
7 68 SUN-array MatMul 475.6087
7 68 SUN-array conjMatMul 446.2587
7 68 SUN-array HalfStaple 361.4348
7 68 SUN-array Plaquette 60.9896
7 68 SUN-array Plaquette-Kernel 60.1352
7 68 SUN-array Plaquette-Notrace 69.3020
7 68 SUN-array Plaquette-Trace 926.4655
7 68 SUN-array Plaquette-NotraceTrace 72.7300
